token,τ,dx,dy
'ajzi,1,0.0,0.0
'ajzi,3,-0.02809309959411621,0.013076074421405792
'ajzi,3,0.02809309959411621,-0.013076074421405792
'ajzi,15,0.06575381569564342,0.06581751629710197
'ajzi,15,-0.06575381569564342,-0.06581751629710197
'ajzi,17,0.011918125674128532,-0.06036940962076187
a'udhu,1,-0.0025968714617192745,-0.0020735040307044983
a'udhu,1,0.04194061318412423,-0.05435995105654001
a'udhu,1,0.06999887898564339,0.03370420169085264
a'udhu,1,-0.09517087927088141,0.027469102293252945
a'udhu,3,-0.016768615692853928,-0.006813350133597851
a'udhu,3,0.04194061318412423,-0.05435995105654001
a'udhu,3,0.06999887898564339,0.03370420169085264
a'udhu,3,-0.14167320728302002,-0.013162409886717796
a'udhu,3,0.11124478187412024,-0.04119776515290141
a'udhu,3,0.016263406723737717,0.0712818130850792
a'udhu,3,-0.05492920242249966,-0.028773605823516846
a'udhu,3,-0.040248389821499586,0.03458121977746487
a'udhu,15,-0.0025968714617192745,-0.0020735040307044983
a'udhu,15,0.04194061318412423,-0.05435995105654001
a'udhu,15,0.06999887898564339,0.03370420169085264
a'udhu,15,-0.12929068505764008,0.008470142260193825
a'udhu,15,0.00898212380707264,-0.027309282682836056
a'udhu,17,0.008369058137759566,0.039494894444942474
a'udhu,17,0.04194061318412423,-0.05435995105654001
a'udhu,17,0.06999887898564339,0.03370420169085264
a'udhu,17,-0.12346303882077336,-0.07405559346079826
a'udhu,17,0.028383348369970918,0.03307011164724827
a'udhu,17,0.06841083988547325,-0.022817282937467098
a'udhu,17,-0.07429937366396189,-0.04190156236290932
ability,7,0.0067586456425487995,-0.059552231803536415
ability,9,-0.06634447537362576,-0.0259854719042778
ability,9,-0.02136269025504589,-0.043100329115986824
ability,21,0.04015367478132248,0.00806758040562272
ability,23,0.08008580654859543,-0.005426588701084256
about,0,-0.09880934283137321,0.032507249154150486
about,1,0.025994068942964077,0.06713203713297844
about,4,-0.014414293691515923,-0.07238442823290825
about,5,0.016927512362599373,0.06378806754946709
about,5,0.04431241750717163,-0.048608873039484024
about,5,-0.06709581008180976,0.001024741679430008
about,5,0.016004471573978662,-0.1255245953798294
about,6,-0.019009582698345184,0.21008443273603916
about,6,-0.003856581635773182,-0.048351048957556486
about,7,-0.00830854382365942,-0.11525982525199652
about,7,0.013872181996703148,0.0780471172183752
about,7,0.08506763353943825,-0.03604216314852238
about,9,0.00846879743039608,-0.11219310574233532
about,9,-0.027984771877527237,0.039318230003118515
about,9,-0.023002929985523224,0.06995827704668045
about,9,0.043494184501469135,-0.06802270375192165
about,9,0.00834058877080679,0.06452659144997597
about,14,-0.07349046319723129,0.09748522192239761
about,18,-0.001088084653019905,-0.04887388087809086
about,19,0.03159382753074169,-0.020439182640984654
about,19,-0.000805362593382597,-0.041642602533102036
about,19,-0.09776810742914677,0.04197146091610193
about,19,0.0806304756551981,-0.011845290660858154
about,19,-0.0010460568591952324,-0.01493858452886343
about,19,0.04867367818951607,-0.048060049302875996
about,19,-0.034095355309545994,0.0031629707664251328
about,20,0.02501695789396763,0.02792513044551015
about,20,-0.03548138216137886,0.10265088453888893
about,21,-0.08093660790473223,-0.046596537344157696
act,1,-0.08356534689664841,-0.11162132676690817
act,1,0.05926179466769099,0.04838402010500431
act,5,-0.02530631236732006,0.03216269984841347
act,9,-0.021334118209779263,-0.0048624249175190926
act,11,0.16096700076013803,-0.08031744230538607
act,11,-0.1432423791848123,-0.003548827487975359
act,11,-0.05264896992594004,-0.01785070146434009
act,13,0.04694829508662224,-0.04105019010603428
act,13,0.01151321455836296,0.019874248187988997
act,15,0.04344059433788061,0.049070606008172035
act,15,0.01030542328953743,-0.09143522381782532
act,15,-0.12123623304069042,0.12155586760491133
act,15,0.10125347971916199,-0.10108760744333267
act,15,0.013891279697418213,-0.008135924115777016
act,15,-0.1419583223760128,-0.018708348274230957
act,17,0.0263650668784976,0.011929872445762157
act,17,-0.013891385868191719,0.14594649896025658
act,17,-0.049406537087634206,-0.08322987519204617
act,19,0.19879491906613111,-0.0023668259382247925
act,19,-0.10470024170354009,0.07813671976327896
act,19,0.03437559027224779,-0.10164742916822433
act,19,0.049631241243332624,0.09348430670797825
act,19,-0.13089148374274373,-0.13120441883802414
act,19,0.0512453131377697,0.01821809634566307
act,19,0.10718497075140476,0.05934318294748664
act,19,-0.008137658704072237,0.06370866857469082
act,21,-0.04292385699227452,0.03349354863166809
act,21,0.13878845609724522,-0.10330653470009565
act,21,-0.13434978295117617,-0.015405036509037018
act,21,0.0037327557802200317,0.022746052592992783
act,21,-0.08519772253930569,0.012560633942484856
act,21,0.0075426725670695305,-0.07409568503499031
act,21,0.014485657215118408,0.042008962482213974
act,23,0.07407514192163944,-0.07867424003779888
act,25,0.0066705504432320595,0.08058742713183165
addresses,1,-0.061025239527225494,-0.12277841009199619
addresses,1,0.05535955587401986,0.11299803527072072
addresses,1,-0.01665695756673813,0.015466030221432447
addresses,1,0.05651806853711605,0.0401381179690361
addresses,5,-0.05152823403477669,0.004591429606080055
addresses,19,0.009745918214321136,-0.07892053574323654
after,5,-0.025516691617667675,0.08963407017290592
after,7,-0.04272132460027933,-0.10709349066019058
after,13,-0.04189715534448624,-0.041034492664039135
after,13,-0.057383548468351364,0.029745066072791815
after,15,-0.03163208859041333,-0.014971239492297173
after,21,0.11348031857050955,-0.03949563205242157
against,1,-0.07760068634524941,0.017428327351808548
against,5,-0.019592779222875834,-0.03856915840879083
against,19,0.1334256622940302,0.004871520213782787
against,19,-0.07160876784473658,-0.07359451521188021
against,19,0.07590246573090553,0.01216279249638319
agency,11,-0.04799765348434448,-0.03980221040546894
agency,11,0.0361099848523736,-0.07578336447477341
agency,15,-0.13116942066699266,0.01227986067533493
agency,15,0.13895615562796593,0.12851150706410408
agency,17,0.05819735862314701,-0.07298717647790909
agent,11,-0.07785823941230774,0.0670777428895235
agent,11,0.12632200494408607,0.036848073825240135
agent,11,0.02096129208803177,-0.13406732212752104
agent,19,0.005134692415595055,0.045873929746448994
agent,21,-0.0008363481611013412,-0.005624372512102127
all,1,0.04930143058300018,-0.10824689269065857
all,5,-0.07290801778435707,0.070460245013237
all,9,0.0052114445716142654,-0.08690278232097626
all,11,-0.023389247711747885,-0.019470632076263428
all,11,0.06635846756398678,0.011934415437281132
all,12,-0.03538337629288435,0.05966467474354431
all,17,-0.0012916848063468933,-0.12119287066161633
all,17,0.010430198162794113,0.13420050218701363
all,19,0.05212574917823076,0.05051255039870739
allah,1,0.08091788738965988,-0.024358537979424
allah,1,0.06644000113010406,-0.029527494683861732
allah,1,-0.19038555677980185,0.19217326305806637
allah,1,0.029816022142767906,0.00791775994002819
allah,1,-0.04782220721244812,-0.048679339699447155
allah,1,0.08908981271088123,-0.09385889023542404
allah,1,-0.04502681456506252,0.07285619154572487
