token,cluster,occ,Φ
and,0,6,0.7952384750048319
and,1,11,0.7065349221229553
and,2,9,0.7299582428402371
and,3,67,0.5769607384703053
and,4,11,0.6639809608459473
not,0,24,0.607085524747769
not,1,6,0.7994419535001119
semantic,0,7,0.7733878323010036
semantic,1,7,0.8232278909002032
that,0,23,0.5020075246043827
that,1,8,0.6989323422312737
the,0,166,0.5099407982933952
the,1,6,0.8770088056723276
their,0,13,0.655220627784729
their,1,5,0.7483524799346923
