cluster,token,τ,Φ,order
1,all,20,0.581953347,0
1,all,21,0.291128486,1
1,all,26,0.509947777,2
1,all,26,0.373424023,3
1,all,30,0.449922204,4
1,all,39,0.469770044,5
1,all,43,0.424756199,6
1,all,43,0.23814939,7
1,all,52,0.399013728,8
1,all,52,0.214126304,9
0,already,24,0.654184759,0
0,already,51,0.504311144,1
0,already,52,0.489335448,2
0,already,52,0.569118202,3
0,already,52,0.605481923,4
0,already,56,0.634237409,5
0,already,77,0.514692605,6
0,already,87,0.533660531,7
0,already,95,0.643514097,8
0,already,104,0.48088786,9
1,already,36,0.515550494,0
1,already,36,0.614616454,1
1,already,66,0.682675779,2
1,already,66,0.666421473,3
1,already,66,0.72858882,4
1,already,66,0.765380681,5
1,already,66,0.67990458,6
1,already,66,0.723636031,7
1,already,66,0.72431916,8
1,already,66,0.720459163,9
0,amd,36,0.799640119,0
0,amd,36,0.752240002,1
0,amd,36,0.838585496,2
0,amd,36,0.766214907,3
0,amd,36,0.790649951,4
0,amd,36,0.824655533,5
0,amd,36,0.787560046,6
0,amd,36,0.901491642,7
0,amd,36,0.832074165,8
0,amd,36,0.796092689,9
1,amd,36,0.911439836,0
1,amd,36,0.842411041,1
1,amd,36,0.863084435,2
1,amd,36,0.886882782,3
1,amd,36,0.894967616,4
1,amd,36,0.891844511,5
0,analysis,23,0.925176263,0
0,analysis,25,0.979414523,1
0,analysis,26,0.979414523,2
0,analysis,56,0.942133188,3
0,analysis,147,0.979414523,4
0,analysis,171,0.641078532,5
1,analysis,23,0.769417584,0
1,analysis,25,0.869548917,1
1,analysis,26,0.932865322,2
1,analysis,56,0.843031585,3
1,analysis,61,0.845985174,4
1,analysis,147,0.932865322,5
2,analysis,23,0.789484441,0
2,analysis,23,0.850831628,1
2,analysis,25,0.829545081,2
2,analysis,25,0.85140413,3
2,analysis,25,0.842544198,4
2,analysis,26,0.829545081,5
2,analysis,26,0.85140413,6
2,analysis,26,0.842544198,7
2,analysis,56,0.787578702,8
2,analysis,56,0.736616552,9
3,analysis,73,0.862858057,0
3,analysis,79,0.845951676,1
3,analysis,79,0.90209657,2
3,analysis,79,0.89986062,3
3,analysis,79,0.88021189,4
3,analysis,79,0.891277313,5
3,analysis,234,0.900713503,6
4,analysis,23,0.979499876,0
4,analysis,25,0.979499876,1
4,analysis,26,0.786208868,2
4,analysis,26,0.979499876,3
4,analysis,56,0.878593683,4
4,analysis,85,0.84733355,5
4,analysis,147,0.979499876,6
5,analysis,262,0.884122252,0
5,analysis,262,0.897938728,1
5,analysis,288,0.960135579,2
5,analysis,292,0.881694257,3
5,analysis,292,0.960135579,4
6,analysis,262,0.807166278,0
6,analysis,262,0.997218728,1
6,analysis,262,0.997218728,2
6,analysis,262,0.997218728,3
6,analysis,262,0.997218728,4
6,analysis,262,0.997218728,5
6,analysis,262,0.997218728,6
6,analysis,262,0.997218728,7
6,analysis,262,0.997218728,8
6,analysis,262,0.815386772,9
7,analysis,68,0.81435287,0
7,analysis,92,0.994391382,1
7,analysis,110,0.994391382,2
7,analysis,184,0.994391382,3
7,analysis,262,0.947431743,4
7,analysis,262,0.994391382,5
7,analysis,288,0.994391382,6
7,analysis,292,0.994391382,7
8,analysis,25,0.954711497,0
8,analysis,26,0.969586372,1
8,analysis,39,0.877450824,2
8,analysis,53,0.938290477,3
8,analysis,56,0.954711497,4
8,analysis,57,0.934922874,5
8,analysis,61,0.905066729,6
8,analysis,63,0.963470757,7
8,analysis,63,0.958502769,8
8,analysis,77,0.90460664,9
9,analysis,34,0.915766239,0
9,analysis,53,0.971413076,1
9,analysis,63,0.966768265,2
9,analysis,73,0.93699491,3
9,analysis,73,0.959729195,4
9,analysis,77,0.940784812,5
10,analysis,28,0.941372573,0
10,analysis,28,0.981571555,1
10,analysis,34,0.934966624,2
10,analysis,34,0.981571555,3
10,analysis,36,0.981571555,4
10,analysis,49,0.929709315,5
10,analysis,49,0.981571555,6
10,analysis,73,0.929709315,7
10,analysis,73,0.981571555,8
11,analysis,36,0.89539516,0
11,analysis,36,0.885304511,1
11,analysis,36,0.912002206,2
11,analysis,36,0.947104514,3
11,analysis,36,0.89539516,4
11,analysis,36,0.961241663,5
11,analysis,36,0.898070455,6
11,analysis,36,0.898070455,7
11,analysis,36,0.928008854,8
11,analysis,36,0.969811618,9
0,and,13,0.465282619,0
0,and,14,0.529939055,1
0,and,16,0.363030642,2
0,and,16,0.37822476,3
0,and,16,0.58226943,4
0,and,20,0.383743942,5
